  luck
Date: 13062013133520
IP address: 2.115.27.36
Bob,37,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,7:4|7:5|2:2|3:2|2:7|2:8|,4:3,3:4,fullMiss,2.753,5,20,60
trial,4:8|5:8|7:3|8:3|2:2|3:2|,6:2,6:2,nearMiss,2.5,3,62,64
trial,5:5|5:6|3:1|4:1|1:6|1:7|,6:7,7:8,fullMiss,3.542,5,35,50
trial,3:3|4:3|2:7|2:8|6:7|7:7|,4:6,3:6,nearMiss,4.037,3,38,62
trial,7:2|7:3|1:4|1:5|5:7|6:7|,3:4,4:5,fullMiss,3.309,7,33,49
trial,7:2|7:3|1:1|2:1|5:7|6:7|,5:8,5:9,fullMiss,2.98,5,52,61
trial,1:3|2:3|5:8|5:9|9:2|9:3|,5:6,4:5,fullMiss,2.573,2,21,42
trial,2:3|2:4|7:4|7:5|8:9|9:9|,6:8,6:9,fullMiss,2.149,3,32,36
trial,2:2|3:2|7:7|7:8|7:3|8:3|,4:5,4:5,fullMiss,2.525,5,49,46
trial,6:3|6:4|3:9|4:9|2:2|2:3|,4:8,4:9,hit,2.756,3,52,42
trial,6:3|7:3|2:4|2:5|2:9|3:9|,4:4,5:3,nearMiss,2.581,4,29,36
trial,6:4|6:5|2:1|2:2|6:9|7:9|,4:7,4:7,fullMiss,2.077,3,34,28
trial,5:6|5:7|3:1|3:2|9:3|9:4|,8:8,7:9,fullMiss,2.701,5,24,24
trial,9:4|9:5|5:7|5:8|3:3|4:3|,8:3,9:3,nearMiss,2.213,5,31,6
trial,6:1|6:2|1:3|1:4|6:6|7:6|,8:3,7:3,nearMiss,2.173,0,40,23
trial,5:7|5:8|9:3|9:4|1:3|2:3|,7:5,8:5,nearMiss,2.238,3,17,10
trial,4:7|5:7|7:2|8:2|1:3|2:3|,7:5,8:4,fullMiss,1.381,0,19,15
trial,3:2|4:2|8:4|8:5|3:7|4:7|,7:4,8:4,hit,1.957,1,25,27
trial,3:2|4:2|7:8|8:8|9:3|9:4|,2:4,3:4,fullMiss,3.798,5,30,16
trial,6:7|6:8|2:3|3:3|7:3|8:3|,2:4,3:5,fullMiss,2.044,0,19,15
trial,5:4|5:5|9:7|9:8|3:9|4:9|,2:7,2:7,fullMiss,2.221,3,25,23
trial,6:3|7:3|1:2|1:3|7:8|7:9|,6:4,6:3,hit,3.172,7,35,16
trial,2:2|2:3|7:7|8:7|7:1|8:1|,4:7,3:7,fullMiss,3.773,5,15,5
trial,7:2|7:3|7:8|8:8|2:7|3:7|,4:7,4:6,nearMiss,2.453,0,8,7
trial,4:3|4:4|8:6|8:7|2:8|3:8|,7:7,6:6,fullMiss,2.91,3,7,3
trial,3:2|4:2|5:6|5:7|9:5|9:6|,7:4,8:4,nearMiss,2.149,3,8,2
trial,5:7|5:8|1:4|1:5|7:1|7:2|,7:4,7:4,fullMiss,2.237,0,10,5
trial,3:6|3:7|7:6|8:6|7:2|8:2|,4:3,5:2,fullMiss,3.116,4,7,8

