  skill
Date: 12062013174007
IP address: 246.0.220.162
Bob,37,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,8:7|8:8|2:1|3:1|3:5|4:5|,2:1,0:1,fullMiss,5.322,1,25,51
trial,8:2|8:3|7:7|7:8|3:6|3:7|,3:6,2:8,nearMiss,7.399,6,19,50
trial,9:7|9:8|8:2|8:3|3:1|4:1|,4:1,4:2,nearMiss,8.048,11,23,51
trial,1:4|2:4|1:8|2:8|6:1|6:2|,6:1,4:1,fullMiss,7.599,2,14,51
trial,6:1|7:1|4:5|5:5|2:9|3:9|,6:1,7:0,nearMiss,2.56,0,22,53
trial,4:6|5:6|5:2|6:2|9:8|9:9|,6:2,6:4,fullMiss,4.92,1,23,51
trial,3:4|4:4|8:6|8:7|2:8|3:8|,8:6,7:5,nearMiss,4.407,6,22,49
trial,7:7|8:7|1:8|2:8|3:2|3:3|,8:7,7:5,fullMiss,3.191,1,21,50
trial,5:5|5:6|8:1|9:1|3:1|4:1|,5:6,4:3,fullMiss,4.343,4,19,50
trial,2:2|2:3|7:3|8:3|6:7|7:7|,6:7,4:7,fullMiss,1.904,2,11,33
trial,5:5|6:5|2:9|3:9|6:1|7:1|,6:5,6:5,hit,5.712,2,51,36
trial,8:2|8:3|2:2|2:3|6:8|7:8|,6:8,5:9,nearMiss,8.727,0,22,22
trial,5:7|5:8|4:2|5:2|1:7|1:8|,5:8,7:8,fullMiss,5.624,1,17,21
trial,7:3|7:4|2:7|3:7|2:3|3:3|,3:7,1:5,fullMiss,2.208,5,16,16
trial,6:4|7:4|4:8|5:8|1:2|1:3|,4:8,5:8,hit,1.583,2,68,16
trial,2:7|3:7|6:3|7:3|8:8|9:8|,3:7,2:9,fullMiss,5.096,2,15,23
trial,3:9|4:9|7:2|8:2|1:4|1:5|,3:9,3:9,hit,1.383,2,63,18
trial,6:3|6:4|3:8|4:8|8:9|9:9|,3:8,2:9,nearMiss,2.463,1,17,0
trial,2:5|2:6|6:3|7:3|6:7|6:8|,2:6,5:5,fullMiss,2.255,3,0,0
trial,3:3|4:3|2:8|2:9|8:3|8:4|,2:8,4:6,fullMiss,4.559,2,0,0
trial,5:3|5:4|7:8|7:9|9:3|9:4|,5:4,6:3,nearMiss,7.616,7,0,0
trial,6:5|7:5|1:4|2:4|7:9|8:9|,6:5,6:5,hit,1.927,2,63,0
trial,3:5|4:5|9:2|9:3|3:9|4:9|,4:5,4:4,nearMiss,1.551,2,17,0
trial,5:3|6:3|4:7|4:8|8:8|9:8|,4:7,5:6,nearMiss,1.52,2,0,0
trial,6:2|7:2|7:8|8:8|3:6|3:7|,3:7,1:8,fullMiss,51.027,1,0,0
trial,3:5|3:6|8:2|9:2|8:6|9:6|,3:6,5:7,fullMiss,4.055,1,0,0
trial,3:4|3:5|8:7|8:8|7:3|8:3|,3:5,2:8,fullMiss,62.5,1,0,0
trial,8:7|8:8|3:7|3:8|6:2|6:3|,3:7,1:6,fullMiss,1.879,2,0,0

