  mixed
Date: 04062013151626
IP address: 251.151.217.156
Sarah,26,Female
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,7:6|8:6|6:2|7:2|1:8|2:8|,2:3,1:2,fullMiss,22.221,33,32,50
trial,6:6|7:6|2:5|2:6|7:2|8:2|,5:4,3:6,nearMiss,59.342,58,34,37
trial,2:1|3:1|1:6|2:6|7:4|7:5|,5:8,7:5,hit,97.441,108,33,36
trial,4:2|4:3|3:8|3:9|8:8|9:8|,2:6,1:5,fullMiss,7.415,9,31,41
trial,6:5|7:5|8:1|9:1|7:9|8:9|,5:4,6:3,fullMiss,14.216,34,30,32
trial,1:6|1:7|7:1|8:1|6:5|6:6|,1:6,2:6,nearMiss,13.15,14,5,38
trial,7:2|7:3|6:8|7:8|1:2|2:2|,3:2,4:2,fullMiss,8.101,14,33,39
trial,7:6|7:7|1:3|1:4|6:1|7:1|,3:5,1:4,hit,3.232,3,32,34
trial,4:4|4:5|8:7|8:8|2:9|3:9|,4:2,3:2,fullMiss,10.298,10,28,25
trial,5:1|5:2|6:7|6:8|1:3|1:4|,4:4,4:3,nearMiss,5.273,6,38,38
trial,6:3|6:4|7:8|8:8|2:1|2:2|,5:7,5:7,fullMiss,6.401,8,49,23
trial,6:7|7:7|5:2|5:3|9:2|9:3|,2:3,2:3,fullMiss,7.708,9,46,35
trial,2:9|3:9|6:4|6:5|1:2|1:3|,6:1,7:3,nearMiss,15.413,26,35,36
trial,4:3|4:4|3:8|3:9|8:8|9:8|,3:8,3:7,nearMiss,18.645,40,41,33
trial,2:8|3:8|4:3|5:3|9:6|9:7|,3:8,3:8,hit,3.03,0,67,29
trial,9:5|9:6|1:3|1:4|5:1|5:2|,4:2,3:0,fullMiss,11.479,21,44,28
trial,1:1|1:2|2:6|3:6|7:5|7:6|,5:2,5:3,fullMiss,24.703,55,21,15
trial,2:7|2:8|2:2|2:3|7:7|7:8|,5:4,5:4,fullMiss,7.614,23,31,22
trial,7:5|7:6|1:1|1:2|3:7|3:8|,2:4,4:6,nearMiss,3.733,0,37,35
trial,1:5|2:5|8:3|8:4|4:9|5:9|,2:4,2:4,nearMiss,1.376,0,46,30
trial,2:8|3:8|8:8|9:8|4:2|5:2|,2:4,3:5,fullMiss,1.054,0,45,28
trial,2:3|2:4|9:4|9:5|4:8|4:9|,7:2,5:3,fullMiss,7.731,15,49,33
trial,2:1|3:1|6:7|7:7|1:6|1:7|,4:2,3:1,hit,3.834,3,61,27
trial,2:4|2:5|6:5|6:6|6:1|7:1|,2:4,1:4,nearMiss,3.701,4,8,15
trial,3:4|3:5|7:5|7:6|7:1|8:1|,6:8,5:6,fullMiss,6.425,16,42,30
trial,2:4|2:5|5:9|6:9|8:4|8:5|,6:8,5:7,fullMiss,2.25,0,44,31

